QID,tipo_modelo,origem_modelo,tecnica_prompt,pergunta_resumo,redflags_str,Coluna 1
17,SLM,SLM (TinyLlama),zero-shot,9th-grade MCQ about digital security. Use hexadecimal numbers.,"Ambiguidade, Falta de contexto","Ambiguidade/enunciado vago, Falta de contexto/dependência externa"
18,SLM,SLM (TinyLlama),exemplar-guided,Online communication is like the “internet” in your home.,"Ambiguidade, Desalinhamento entre enunciado e alternativas","Ambiguidade/enunciado vago, Desalinhamento enunciado×opções"
19,SLM,SLM (TinyLlama),zero-shot,Why is it important to consider both the weight of edges and the order of nodes in a graph?,"Ambiguidade, Falta de contexto","Ambiguidade/enunciado vago, Falta de contexto/dependência externa"
20,SLM,SLM (TinyLlama),template-based,Which issue is most commonly faced by low-income students in schools that use low-cost digital devices?,"Ambiguidade, Falta de contexto, Gabarito incorreto, Ausência de avaliação clara","Ambiguidade/enunciado vago, Falta de contexto/dependência externa, Gabarito incorreto/erro factual, Sem objetivo avaliativo claro"
21,SLM,SLM (TinyLlama),zero-shot,What is a state machine in digital systems?,"Ambiguidade, Gabarito incorreto","Ambiguidade/enunciado vago, Gabarito incorreto/erro factual"
22,SLM,SLM (TinyLlama),exemplar-guided,How does a weighted graph represent a complex problem?,"Ambiguidade, Gabarito incorreto","Ambiguidade/enunciado vago, Gabarito incorreto/erro factual"
23,SLM,SLM (TinyLlama),few-shot,What is the primary purpose of a weighted graph?,"Ambiguidade, Distratores Fracos, Falta de contexto, Gabarito incorreto","Ambiguidade/enunciado vago, Distratores fracos/triviais, Falta de contexto/dependência externa, Gabarito incorreto/erro factual"
24,SLM,SLM (TinyLlama),template-based,"When a function returns a value, it usually does so using [..] as the base. Why is this common?",Ambiguidade,Ambiguidade/enunciado vago
25,SLM,SLM (TinyLlama),exemplar-guided,Which state machine is used to identify a computer's state?,"Ambiguidade, Falta de contexto, Gabarito incorreto","Ambiguidade/enunciado vago, Falta de contexto/dependência externa, Gabarito incorreto/erro factual"
26,SLM,SLM (TinyLlama),template-based,Why is malware often hidden in an innocent-looking program?,Ambiguidade,Ambiguidade/enunciado vago
27,SLM,SLM (TinyLlama),template-based,Why is recursive programming useful?,"Ambiguidade, Distratores Fracos","Ambiguidade/enunciado vago, Distratores fracos/triviais"
28,SLM,SLM (TinyLlama),chain-of-thought,What is a key advantage of Asymmetric Encryption?,"Ambiguidade, Gabarito incorreto","Ambiguidade/enunciado vago, Gabarito incorreto/erro factual"
29,SLM,SLM (TinyLlama),exemplar-guided,Why is it important to reduce digital divide?,"Ambiguidade, Gabarito incorreto","Ambiguidade/enunciado vago, Gabarito incorreto/erro factual"
30,SLM,SLM (TinyLlama),chain-of-thought,What is the purpose of the ‘right to be forgotten’ in LGPD?,"Ambiguidade, Distratores Fracos, Gabarito incorreto","Ambiguidade/enunciado vago, Distratores fracos/triviais, Gabarito incorreto/erro factual"
31,SLM,SLM (TinyLlama),zero-shot,What is the role of AI in online safety?,"Ambiguidade, Desalinhamento entre enunciado e alternativas, Gabarito incorreto","Ambiguidade/enunciado vago, Desalinhamento enunciado×opções, Gabarito incorreto/erro factual"
32,SLM,SLM (TinyLlama),chain-of-thought,Why use asymmetric encryption?,"Ambiguidade, Distratores Fracos, Gabarito incorreto","Ambiguidade/enunciado vago, Distratores fracos/triviais, Gabarito incorreto/erro factual"
33,SLM,SLM (TinyLlama),zero-shot,Which malware technique increases attack speed?,"Ambiguidade, Problemas de linguagem","Ambiguidade/enunciado vago, Problemas de linguagem/gramática"
34,SLM,SLM (TinyLlama),exemplar-guided,What is a key property of weighted graphs?,"Ambiguidade, Gabarito incorreto","Ambiguidade/enunciado vago, Gabarito incorreto/erro factual"
35,SLM,SLM (TinyLlama),template-based,Which digital skills are essential for better access to education?,Ambiguidade,Ambiguidade/enunciado vago
36,SLM,SLM (TinyLlama),chain-of-thought,What can happen if a school has a low-quality internet connection?,Ambiguidade,Ambiguidade/enunciado vago
37,SLM,SLM (TinyLlama),exemplar-guided,What is the biggest challenge of digital divide?,"Ambiguidade, Desalinhamento entre enunciado e alternativas","Ambiguidade/enunciado vago, Desalinhamento enunciado×opções"
38,SLM,SLM (TinyLlama),zero-shot,Which personal data should you consider hiding in the personal data section of your privacy policy?,"Gabarito incorreto, Ambiguidade","Ambiguidade/enunciado vago, Gabarito incorreto/erro factual, Problemas de linguagem/gramática"
39,SLM,SLM (TinyLlama),exemplar-guided,What is the main goal of creating AI with human-like values?,"Ambiguidade, Nivel congnitivo inadequado","Ambiguidade/enunciado vago, Nível cognitivo inadequado"
40,SLM,SLM (TinyLlama),exemplar-guided,Which scenario involves the transfer of data from a server to a client?,"Ambiguidade, Gabarito incorreto, Problemas de linguagem","Ambiguidade/enunciado vago, Gabarito incorreto/erro factual, Problemas de linguagem/gramática"
41,SLM,SLM (TinyLlama),zero-shot,"9th-grade MCQ about Packet Switching, with 2 questions and correct option B.",Ambiguidade,Ambiguidade/enunciado vago
42,SLM,SLM (TinyLlama),few-shot,What is a state in a computer program?,"Ambiguidade, Distratores Fracos","Ambiguidade/enunciado vago, Distratores fracos/triviais"
43,SLM,SLM (TinyLlama),template-based,[..],"Ambiguidade, Distratores Fracos","Ambiguidade/enunciado vago, Distratores fracos/triviais"
44,SLM,SLM (TinyLlama),few-shot,"{""stem"": ""What is a node in a graph?"", ""options"": [""What is a vertex in a graph?"", ""What is a path in a graph?"", ""What is a cycle in a graph…","Ambiguidade, Distratores Fracos, Gabarito incorreto","Ambiguidade/enunciado vago, Distratores fracos/triviais, Gabarito incorreto/erro factual"
45,SLM,SLM (TinyLlama),zero-shot,Which key is used for decryption?,"Ambiguidade, Desalinhamento entre enunciado e alternativas, Falta de contexto, Gabarito incorreto","Ambiguidade/enunciado vago, Desalinhamento enunciado×opções, Falta de contexto/dependência externa, Gabarito incorreto/erro factual"
46,SLM,SLM (TinyLlama),chain-of-thought,What is the primary purpose of a malware file called Scamware?,"Ambiguidade, Distratores Fracos, Gabarito incorreto","Ambiguidade/enunciado vago, Distratores fracos/triviais, Gabarito incorreto/erro factual"
47,SLM,SLM (TinyLlama),exemplar-guided,Why is LGPD required for privacy?,"Ambiguidade, Desalinhamento entre enunciado e alternativas, Falta de contexto","Ambiguidade/enunciado vago, Desalinhamento enunciado×opções, Falta de contexto/dependência externa"
48,SLM,SLM (TinyLlama),few-shot,Why is weighted graphs important in computer science?,"Ambiguidade, Falta de contexto, Gabarito incorreto, Problemas de linguagem","Ambiguidade/enunciado vago, Falta de contexto/dependência externa, Gabarito incorreto/erro factual, Problemas de linguagem/gramática"
49,SLM,SLM (TinyLlama),exemplar-guided,Which machine is responsible for processing user requests?,"Ambiguidade, Gabarito incorreto","Ambiguidade/enunciado vago, Gabarito incorreto/erro factual"
50,SLM,SLM (TinyLlama),few-shot,How does malware spread in an infected system?,"Falta de contexto, Ambiguidade, Gabarito incorreto","Ambiguidade/enunciado vago, Falta de contexto/dependência externa, Gabarito incorreto/erro factual"
51,SLM,SLM (TinyLlama),chain-of-thought,Why are digital skills important for online safety?,"Ambiguidade, Desalinhamento entre enunciado e alternativas, Gabarito incorreto","Ambiguidade/enunciado vago, Desalinhamento enunciado×opções, Gabarito incorreto/erro factual"
52,SLM,SLM (TinyLlama),few-shot,What should a website do to protect personal data in the EU?,Ambiguidade,Ambiguidade/enunciado vago
53,SLM,SLM (TinyLlama),template-based,[..],"Ambiguidade, Problemas de linguagem","Ambiguidade/enunciado vago, Problemas de linguagem/gramática"
54,SLM,SLM (TinyLlama),few-shot,Which of the following is NOT a valid edge in a weighted graph?,"Ambiguidade, Gabarito incorreto","Ambiguidade/enunciado vago, Gabarito incorreto/erro factual"
55,SLM,SLM (TinyLlama),zero-shot,Why is weighted graphs useful for graph analysis?,"Ambiguidade, Gabarito incorreto, Problemas de linguagem","Ambiguidade/enunciado vago, Gabarito incorreto/erro factual, Problemas de linguagem/gramática"
56,SLM,SLM (TinyLlama),chain-of-thought,What is the base case of a recursive function?,"Ambiguidade, Gabarito incorreto","Ambiguidade/enunciado vago, Gabarito incorreto/erro factual"
57,SLM,SLM (TinyLlama),zero-shot,How do weighted graphs help solve network problems?,"Ambiguidade, Distratores Fracos, Gabarito incorreto, Nivel congnitivo inadequado","Ambiguidade/enunciado vago, Distratores fracos/triviais, Gabarito incorreto/erro factual, Nível cognitivo inadequado"
58,SLM,SLM (TinyLlama),exemplar-guided,Why is packet switching crucial in networks?,"Ambiguidade, Distratores Fracos, Problemas de linguagem","Ambiguidade/enunciado vago, Distratores fracos/triviais, Problemas de linguagem/gramática"
59,SLM,SLM (TinyLlama),few-shot,Which symbol is used to prevent message tampering?,"Ambiguidade, Desalinhamento entre enunciado e alternativas, Falta de contexto","Ambiguidade/enunciado vago, Desalinhamento enunciado×opções, Falta de contexto/dependência externa"
60,SLM,SLM (TinyLlama),exemplar-guided,What is the primary responsibility of AI systems in a democratic society?,"Ambiguidade, Gabarito incorreto","Ambiguidade/enunciado vago, Gabarito incorreto/erro factual"
61,SLM,SLM (TinyLlama),exemplar-guided,How do AI systems learn?,"Ambiguidade, Distratores Fracos, Gabarito incorreto","Ambiguidade/enunciado vago, Distratores fracos/triviais, Gabarito incorreto/erro factual"
62,SLM,SLM (TinyLlama),exemplar-guided,What is a common behavior of fake news?,"Distratores Fracos, Gabarito incorreto","Distratores fracos/triviais, Gabarito incorreto/erro factual"
63,SLM,SLM (TinyLlama),template-based,How does the distribution of malware change over time?,"Ambiguidade, Distratores Fracos, Gabarito incorreto, Ausência de avaliação clara","Ambiguidade/enunciado vago, Distratores fracos/triviais, Gabarito incorreto/erro factual, Sem objetivo avaliativo claro"
64,SLM,SLM (TinyLlama),few-shot,Which state machine is used in a two-state system?,"Ambiguidade, Gabarito incorreto","Ambiguidade/enunciado vago, Gabarito incorreto/erro factual"
65,SLM,SLM (TinyLlama),template-based,What is the key to making recursive algorithms faster?,"Ambiguidade, Distratores Fracos, Gabarito incorreto","Ambiguidade/enunciado vago, Distratores fracos/triviais, Gabarito incorreto/erro factual"
66,SLM,SLM (TinyLlama),exemplar-guided,Why is it important to consider AI ethics?,"Ambiguidade, Desalinhamento entre enunciado e alternativas, Gabarito incorreto","Ambiguidade/enunciado vago, Desalinhamento enunciado×opções, Gabarito incorreto/erro factual"
67,SLM,SLM (TinyLlama),few-shot,"{""stem"": ""What is the most important factor in solving online security problems?"", ""options"": [""The first step is to change your password."",…",Ambiguidade,Ambiguidade/enunciado vago
68,SLM,SLM (TinyLlama),exemplar-guided,Why should you consider using LGPD privacy rules?,"Ambiguidade, Distratores Fracos, Gabarito incorreto, Problemas de linguagem","Ambiguidade/enunciado vago, Distratores fracos/triviais, Gabarito incorreto/erro factual, Problemas de linguagem/gramática"
69,SLM,SLM (TinyLlama),chain-of-thought,Which scenario helps recognize AI’s limits?,"Ambiguidade, Desalinhamento entre enunciado e alternativas, Gabarito incorreto","Ambiguidade/enunciado vago, Desalinhamento enunciado×opções, Gabarito incorreto/erro factual"
70,SLM,SLM (TinyLlama),few-shot,Which tool is commonly used to scan the network for unknown or malicious files?,Ambiguidade,Ambiguidade/enunciado vago
71,SLM,SLM (TinyLlama),template-based,Which technique is used in asymmetric encryption to ensure that only the key holder has access to the data?,"Ambiguidade, Distratores Fracos, Gabarito incorreto","Ambiguidade/enunciado vago, Distratores fracos/triviais, Gabarito incorreto/erro factual"
72,SLM,SLM (TinyLlama),exemplar-guided,Which analysis highlights the advantages of using Weighted Graphs?,"Ambiguidade, Distratores Fracos, Gabarito incorreto","Ambiguidade/enunciado vago, Distratores fracos/triviais, Gabarito incorreto/erro factual"
73,SLM,SLM (TinyLlama),zero-shot,Which scam targets individuals using public Wi-Fi?,"Ambiguidade, Gabarito incorreto","Ambiguidade/enunciado vago, Gabarito incorreto/erro factual"
74,SLM,SLM (TinyLlama),zero-shot,"9th-grade MCQ about 2-FA. Stem: What is the key difference between 2-F and 1-F authentication? Options: Fixed, Flexible, and Single, Flexibl…","Ambiguidade, Gabarito incorreto","Ambiguidade/enunciado vago, Gabarito incorreto/erro factual"
75,SLM,SLM (TinyLlama),few-shot,Why is creativity important for digital citizenship?,"Ambiguidade, Distratores Fracos, Gabarito incorreto","Ambiguidade/enunciado vago, Distratores fracos/triviais, Gabarito incorreto/erro factual"
76,SLM,SLM (TinyLlama),zero-shot,Which method is more likely to use large amounts of data?,"Ambiguidade, Falta de contexto, Gabarito incorreto","Ambiguidade/enunciado vago, Falta de contexto/dependência externa, Gabarito incorreto/erro factual"
77,SLM,SLM (TinyLlama),few-shot,What is a common method used by malware to trick users into sharing files?,"Ambiguidade, Desalinhamento entre enunciado e alternativas, Distratores Fracos, Gabarito incorreto","Ambiguidade/enunciado vago, Desalinhamento enunciado×opções, Distratores fracos/triviais, Gabarito incorreto/erro factual"
78,SLM,SLM (TinyLlama),zero-shot,Which of the following is NOT a result of a weighted graph?,"Ambiguidade, Falta de contexto, Gabarito incorreto","Ambiguidade/enunciado vago, Falta de contexto/dependência externa, Gabarito incorreto/erro factual"
79,SLM,SLM (TinyLlama),few-shot,What is the root of a recursive function?,"Ambiguidade, Gabarito incorreto","Ambiguidade/enunciado vago, Gabarito incorreto/erro factual"
80,SLM,SLM (TinyLlama),few-shot,What is a weighted graph?,Gabarito incorreto,Gabarito incorreto/erro factual
81,SLM,SLM (TinyLlama),exemplar-guided,Why is personal data important online?,"Ambiguidade, Desalinhamento entre enunciado e alternativas, Distratores Fracos, Gabarito incorreto","Ambiguidade/enunciado vago, Desalinhamento enunciado×opções, Distratores fracos/triviais, Gabarito incorreto/erro factual"
82,SLM,SLM (TinyLlama),few-shot,What is a common malicious behavior of malware?,"Ambiguidade, Gabarito incorreto","Ambiguidade/enunciado vago, Gabarito incorreto/erro factual"
83,SLM,SLM (TinyLlama),exemplar-guided,Which malware is often mistaken for a viral message?,"Ambiguidade, Gabarito incorreto","Ambiguidade/enunciado vago, Gabarito incorreto/erro factual"
84,SLM,SLM (TinyLlama),template-based,[..],Gabarito incorreto,Gabarito incorreto/erro factual
85,SLM,SLM (TinyLlama),zero-shot,Which state is responsible for controlling the flow of traffic in a computer network?,"Ambiguidade, Falta de contexto","Ambiguidade/enunciado vago, Falta de contexto/dependência externa"
86,SLM,SLM (TinyLlama),template-based,[..],"Ambiguidade, Distratores Fracos, Falta de contexto, Ausência de avaliação clara","Ambiguidade/enunciado vago, Distratores fracos/triviais, Falta de contexto/dependência externa, Sem objetivo avaliativo claro"
87,SLM,SLM (TinyLlama),template-based,Which packet routing technique is used in a network with multiple routers?,Ambiguidade,Ambiguidade/enunciado vago
88,SLM,SLM (TinyLlama),template-based,[..],"Ambiguidade, Problemas de linguagem","Ambiguidade/enunciado vago, Problemas de linguagem/gramática"
89,SLM,SLM (TinyLlama),few-shot,What is a key component of AI ethics?,"Ambiguidade, Distratores Fracos, Gabarito incorreto","Ambiguidade/enunciado vago, Distratores fracos/triviais, Gabarito incorreto/erro factual"
90,SLM,SLM (TinyLlama),exemplar-guided,How can social media affect mental health?,Ambiguidade,Ambiguidade/enunciado vago
91,SLM,SLM (TinyLlama),zero-shot,Why is the digital divide still a problem in schools?,"Ambiguidade, Desalinhamento entre enunciado e alternativas, Gabarito incorreto","Ambiguidade/enunciado vago, Desalinhamento enunciado×opções, Gabarito incorreto/erro factual"
92,SLM,SLM (TinyLlama),template-based,Why should asymmetric encryption use different keys for communication and authentication?,"Ambiguidade, Falta de contexto, Gabarito incorreto","Ambiguidade/enunciado vago, Falta de contexto/dependência externa, Gabarito incorreto/erro factual"
93,SLM,SLM (TinyLlama),chain-of-thought,How can a weighted graph be used in a network analysis problem?,"Ambiguidade, Distratores Fracos","Ambiguidade/enunciado vago, Distratores fracos/triviais"
94,SLM,SLM (TinyLlama),zero-shot,Which is the most common type of malware?,"Ambiguidade, Falta de contexto, Gabarito incorreto","Ambiguidade/enunciado vago, Falta de contexto/dependência externa, Gabarito incorreto/erro factual"
95,SLM,SLM (TinyLlama),few-shot,Examples:,"Ambiguidade, Desalinhamento entre enunciado e alternativas, Distratores Fracos, Gabarito incorreto","Ambiguidade/enunciado vago, Desalinhamento enunciado×opções, Distratores fracos/triviais, Gabarito incorreto/erro factual"
96,SLM,SLM (TinyLlama),zero-shot,Why are state machines used in automated testing?,"Ambiguidade, Gabarito incorreto, Distratores Fracos, Desalinhamento entre enunciado e alternativas","Ambiguidade/enunciado vago, Desalinhamento enunciado×opções, Distratores fracos/triviais, Gabarito incorreto/erro factual"
97,SLM,SLM (TinyLlama),zero-shot,What is a common characteristic shared by all types of malware?,"Ambiguidade, Gabarito incorreto","Ambiguidade/enunciado vago, Gabarito incorreto/erro factual"
98,SLM,SLM (TinyLlama),few-shot,What is a common behavior of malware that spreads quickly on a network?,"Ambiguidade, Gabarito incorreto","Ambiguidade/enunciado vago, Gabarito incorreto/erro factual"
99,SLM,SLM (TinyLlama),chain-of-thought,How does the weighted graph property help to identify the largest weighted cycle?,"Ambiguidade, Gabarito incorreto","Ambiguidade/enunciado vago, Gabarito incorreto/erro factual"
100,SLM,SLM (TinyLlama),zero-shot,Why is LGPD important for protecting personal data?,"Ambiguidade, Gabarito incorreto","Ambiguidade/enunciado vago, Gabarito incorreto/erro factual"
101,LLM,LLM (Llama-3.3-70B),zero-shot,"In a social network represented as a weighted graph, where nodes are users and edges represent friendships with weights indicating the frequ…",Nivel congnitivo inadequado,Nível cognitivo inadequado
102,LLM,LLM (Llama-3.3-70B),zero-shot,"In a social network represented as a weighted graph, where each node represents a user and the edges represent the number of common friends …",Distratores Fracos,Distratores fracos/triviais
103,LLM,LLM (Llama-3.3-70B),zero-shot,"In a social network represented as a weighted graph, where each node is a user and the edges represent friendships with weights indicating t…","Ambiguidade, Gabarito incorreto","Ambiguidade/enunciado vago, Gabarito incorreto/erro factual"
104,LLM,LLM (Llama-3.3-70B),zero-shot,"In a social network represented as a weighted graph, where the vertices represent users and the edges represent friendships with weights ind…","Ambiguidade, Gabarito incorreto, Distratores Fracos","Ambiguidade/enunciado vago, Distratores fracos/triviais, Gabarito incorreto/erro factual"
105,LLM,LLM (Llama-3.3-70B),zero-shot,"In a social network represented as a weighted graph, where vertices are users and edges represent friendships with weights indicating the st…","Ambiguidade, Falta de contexto, Nivel congnitivo inadequado","Ambiguidade/enunciado vago, Falta de contexto/dependência externa, Nível cognitivo inadequado"
106,LLM,LLM (Llama-3.3-70B),few-shot,What is a key characteristic of recursive functions in solving problems?,Distratores Fracos,Distratores fracos/triviais
107,LLM,LLM (Llama-3.3-70B),few-shot,What is a key characteristic of recursive functions in solving problems?,"Distratores Fracos, Gabarito incorreto","Distratores fracos/triviais, Gabarito incorreto/erro factual"
108,LLM,LLM (Llama-3.3-70B),few-shot,What is a key characteristic of recursive functions in solving problems?,Distratores Fracos,Distratores fracos/triviais
109,LLM,LLM (Llama-3.3-70B),few-shot,What is a key characteristic of recursive functions in solving problems?,"Distratores Fracos, Gabarito incorreto","Distratores fracos/triviais, Gabarito incorreto/erro factual"
110,LLM,LLM (Llama-3.3-70B),few-shot,What is a key characteristic of recursive functions in solving problems?,"Ambiguidade, Distratores Fracos, Gabarito incorreto","Ambiguidade/enunciado vago, Distratores fracos/triviais, Gabarito incorreto/erro factual"
111,LLM,LLM (Llama-3.3-70B),chain-of-thought,What is the main risk of sharing the private key in asymmetric encryption?,"Distratores Fracos, Gabarito incorreto","Distratores fracos/triviais, Gabarito incorreto/erro factual"
112,LLM,LLM (Llama-3.3-70B),chain-of-thought,What is the main risk of sharing the private key in asymmetric encryption?,Distratores Fracos,Distratores fracos/triviais
113,LLM,LLM (Llama-3.3-70B),chain-of-thought,What is the main risk of sharing the private key in asymmetric encryption?,Distratores Fracos,Distratores fracos/triviais
114,LLM,LLM (Llama-3.3-70B),chain-of-thought,What is the main risk of sharing the private key in asymmetric encryption?,Distratores Fracos,Distratores fracos/triviais
115,LLM,LLM (Llama-3.3-70B),chain-of-thought,What is the primary risk associated with sharing your private key in asymmetric encryption?,Distratores Fracos,Distratores fracos/triviais
116,LLM,LLM (Llama-3.3-70B),exemplar-guided,"Imagine you're sending a large email with many photos to a friend. To make it easier to transmit, the internet breaks down the email into sm…","Ambiguidade, Distratores Fracos","Ambiguidade/enunciado vago, Distratores fracos/triviais"
117,LLM,LLM (Llama-3.3-70B),exemplar-guided,"In packet switching, when a message is broken into smaller pieces called packets and sent over a network, what happens to these packets at t…","Distratores Fracos, Gabarito incorreto","Distratores fracos/triviais, Gabarito incorreto/erro factual"
118,LLM,LLM (Llama-3.3-70B),exemplar-guided,"In packet switching, when a message is broken into smaller pieces called packets and sent over a network, what happens to these packets at t…","Ambiguidade, Distratores Fracos","Ambiguidade/enunciado vago, Distratores fracos/triviais"
119,LLM,LLM (Llama-3.3-70B),exemplar-guided,"Imagine you're sending a large email with many photos to a friend. Packet switching is like breaking this email into smaller pieces, called …",Distratores Fracos,Distratores fracos/triviais
120,LLM,LLM (Llama-3.3-70B),exemplar-guided,"Imagine you're sending a large email with many pictures to your friend. To make it easier to send, the email is broken down into smaller par…",Distratores Fracos,Distratores fracos/triviais
121,LLM,LLM (Llama-3.3-70B),template-based,[About transparency and algorithmic bias]... Correct Answer: [Number]. Explanation: [Why AI must be auditable] (BNCC EF09C007).<|end|>,Distratores Fracos,Distratores fracos/triviais
122,LLM,LLM (Llama-3.3-70B),template-based,"How can transparency in AI systems help mitigate algorithmic bias, and what is the primary reason AI must be auditable according to BNCC EF0…",Distratores Fracos,Distratores fracos/triviais
123,LLM,LLM (Llama-3.3-70B),template-based,[About transparency and algorithmic bias]... Correct Answer: [Number]. Explanation: [Why AI must be auditable] (BNCC EF09C007).<|end|>,Distratores Fracos,Distratores fracos/triviais
124,LLM,LLM (Llama-3.3-70B),template-based,[About transparency and algorithmic bias]... Correct Answer: [Number]. Explanation: [Why AI must be auditable] (BNCC EF09C007).<|end|>,"Ambiguidade, Distratores Fracos","Ambiguidade/enunciado vago, Distratores fracos/triviais"
125,LLM,LLM (Llama-3.3-70B),template-based,"What is crucial for ensuring fairness and trust in AI systems to prevent algorithmic bias and discrimination, and why is it important for AI…","Ambiguidade, Distratores Fracos","Ambiguidade/enunciado vago, Distratores fracos/triviais"
126,LLM,LLM (GPT-OSS-120B),zero-shot,"In a weighted undirected graph that models a social network, each vertex represents a user and each edge weight represents the frequency of …",,(nenhuma detectada)
127,LLM,LLM (GPT-OSS-120B),zero-shot,"In a social network modeled as a weighted undirected graph, each edge weight represents the number of interactions per month between two use…",Nivel congnitivo inadequado,Nível cognitivo inadequado
128,LLM,LLM (GPT-OSS-120B),zero-shot,"In a social network represented by the weighted undirected graph below, the vertices are users (A, B, C, D, E) and the edge weights indicate…","Ambiguidade, Gabarito incorreto, Problemas de linguagem, Ausência de avaliação clara","Ambiguidade/enunciado vago, Gabarito incorreto/erro factual, Problemas de linguagem/gramática, Sem objetivo avaliativo claro"
129,LLM,LLM (GPT-OSS-120B),zero-shot,"In a social network of five individuals (A, B, C, D, E), the connections are represented by an undirected weighted graph where each weight i…",Gabarito incorreto,Gabarito incorreto/erro factual
130,LLM,LLM (GPT-OSS-120B),zero-shot,"In a social network modeled as a weighted undirected graph, each edge weight represents the strength of the friendship between two users (th…",Nivel congnitivo inadequado,Nível cognitivo inadequado
131,LLM,LLM (GPT-OSS-120B),few-shot,"In a recursive function that calculates the factorial of a number n, which option best describes how the sub‑problem is used?","Ambiguidade, Distratores Fracos","Ambiguidade/enunciado vago, Distratores fracos/triviais"
132,LLM,LLM (GPT-OSS-120B),few-shot,"In a recursive function, which of the following best describes the role of solving sub‑problems?",Distratores Fracos,Distratores fracos/triviais
133,LLM,LLM (GPT-OSS-120B),few-shot,"In a recursive function that calculates the factorial of a positive integer n, which part of the function is responsible for creating the su…","Ambiguidade, Distratores Fracos","Ambiguidade/enunciado vago, Distratores fracos/triviais"
134,LLM,LLM (GPT-OSS-120B),few-shot,"In a recursive function, why is the problem divided into smaller sub‑problems?",Distratores Fracos,Distratores fracos/triviais
135,LLM,LLM (GPT-OSS-120B),few-shot,"In a recursive function that calculates the factorial of a non‑negative integer n, which part of the function is responsible for creating th…","Ambiguidade, Distratores Fracos","Ambiguidade/enunciado vago, Distratores fracos/triviais"
